t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1433695478,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695478,64,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695479,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695479,65,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695480,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695480,66,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695481,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695481,67,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695482,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695482,68,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695483,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695483,69,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695484,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695484,70,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695485,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695485,71,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695486,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695486,72,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695487,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695677,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695677,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695678,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695678,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695679,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695679,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695796,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695797,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695798,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695799,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1433695800,5,337252,67450.400000,0,150823.679510,0.000000,168626.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695801,6,337252,112417.333333,0,174156.183930,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695802,7,337252,144536.571429,0,180268.776715,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695803,8,337252,168626.000000,0,180268.776715,168626.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695804,9,337252,187362.222222,0,177747.410908,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695805,10,337252,202351.200000,0,174156.183930,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695806,11,337252,214614.909091,0,170152.058255,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695807,12,337252,224834.666667,0,166051.406063,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695808,13,337252,233482.153846,0,162010.620381,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695809,14,337252,240894.285714,0,158106.176248,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695810,15,337252,247318.133333,0,154372.957572,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695811,16,337252,252939.000000,0,150823.679510,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695812,17,337252,257898.588235,0,147459.159329,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695813,18,337252,262307.111111,0,144273.920709,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695814,19,337252,266251.578947,0,141259.318279,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695815,20,337252,269801.600000,0,138405.300479,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695816,21,337252,273013.523810,0,135701.405248,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695817,22,337252,275933.454545,0,133137.315017,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695818,23,337252,278599.478261,0,130703.155170,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695819,24,337252,281043.333333,0,128389.642176,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695820,25,337252,283291.680000,0,126188.143700,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695821,26,337252,285367.076923,0,124090.687758,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695822,27,337252,287288.740741,0,122089.943133,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695823,28,337252,289073.142857,0,120179.184477,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695824,29,337252,290734.482759,0,118352.250132,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695825,30,337252,292285.066667,0,116603.497495,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695826,31,337252,293735.612903,0,114927.758714,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695827,32,337252,295095.500000,0,113320.298308,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695828,33,337252,296372.969697,0,111776.773513,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695829,34,337252,297575.294118,0,110293.197731,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695830,35,337252,298708.914286,0,108865.907136,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695831,36,337252,299779.555556,0,107491.530388,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695832,37,337252,300792.324324,0,106166.961257,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695833,38,337252,301751.789474,0,104889.333961,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695834,39,337252,302662.051282,0,103656.000978,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695835,40,337252,303526.800000,0,102464.513108,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695836,41,337252,304349.365854,0,101312.601552,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695837,42,337252,305132.761905,0,100198.161815,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695838,43,337252,305879.720930,0,99119.239228,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695839,44,337252,306592.727273,0,98074.015931,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695840,45,337252,307274.044444,0,97060.799145,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695841,46,337252,307925.739130,0,96078.010606,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695842,47,337252,308549.702128,0,95124.177031,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695843,48,337252,309147.666667,0,94197.921502,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695844,49,337252,309721.224490,0,93297.955677,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695845,50,337252,310271.840000,0,92423.072737,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695846,51,337252,310800.862745,0,91572.140987,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695847,52,337252,311309.538462,0,90744.098048,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695848,53,337252,311799.018868,0,89937.945578,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695849,54,337252,312270.370370,0,89152.744462,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695850,55,337252,312724.581818,0,88387.610439,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695851,56,337252,313162.571429,0,87641.710095,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695852,57,337252,313585.192982,0,86914.257216,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695853,58,337252,313993.241379,0,86204.509444,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695854,59,337252,314387.457627,0,85511.765216,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695855,60,337252,314768.533333,0,84835.360953,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695856,61,337252,320389.400000,0,74122.653481,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695857,62,337252,326010.266667,0,61049.469925,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695858,63,337252,331631.133333,0,43539.045983,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695859,64,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695860,65,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695861,66,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695862,67,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695863,68,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695864,69,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695865,70,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695866,71,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695867,72,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
1433695868,73,337252,337252.000000,337252,0.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000,337252.000000
