t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1433695828,33,41230,36232.424242,0,13665.023104,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695829,34,41230,36379.411765,0,13483.651817,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695830,35,41230,36518.000000,0,13309.161550,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695831,36,41230,36648.888889,0,13141.140150,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695832,37,41230,36772.702703,0,12979.207870,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695833,38,41230,36890.000000,0,12823.014361,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695834,39,41230,37001.282051,0,12672.235955,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695835,40,41230,37107.000000,0,12526.573231,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695836,41,41230,37207.560976,0,12385.748823,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695837,42,41230,37303.333333,0,12249.505449,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695838,43,41230,37394.651163,0,12117.604146,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695839,44,41230,37481.818182,0,11989.822675,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695840,45,41230,37565.111111,0,11865.954090,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695841,46,41230,37644.782609,0,11745.805443,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695842,47,41230,37721.063830,0,11629.196621,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695843,48,41230,37794.166667,0,11515.959293,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695844,49,41230,37864.285714,0,11405.935955,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695845,50,41230,37931.600000,0,11298.979069,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695846,51,41230,37996.274510,0,11194.950283,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695847,52,41230,38058.461538,0,11093.719719,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695848,53,41230,38118.301887,0,10995.165325,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695849,54,41230,38175.925926,0,10899.172293,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695850,55,41230,38231.454545,0,10805.632519,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695851,56,41230,38285.000000,0,10714.444117,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695852,57,41230,38336.666667,0,10625.510968,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695853,58,41230,38386.551724,0,10538.742318,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695854,59,41230,38434.745763,0,10454.052400,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695855,60,41230,38481.333333,0,10371.360087,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695856,61,41230,39168.500000,0,9061.701645,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695857,62,41230,39855.666667,0,7463.468400,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695858,63,41230,40542.833333,0,5322.770112,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695859,64,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695860,65,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695861,66,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695862,67,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695863,68,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695864,69,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695865,70,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695866,71,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695867,72,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695868,73,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695869,74,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695870,75,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695871,76,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695872,77,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695873,78,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695874,79,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695875,80,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695876,81,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695877,82,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695878,83,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695879,84,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695880,85,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695881,86,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695882,87,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695883,88,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695884,89,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695885,90,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695886,91,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695887,92,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695888,93,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695889,94,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695890,95,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695891,96,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695892,97,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695893,98,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695894,99,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695895,100,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695896,101,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695897,102,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695898,103,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695899,104,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695900,105,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695901,106,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695902,107,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695903,108,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1433695904,109,41230,41230.000000,41230,0.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000,41230.000000
1435050661,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1435050662,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1435050663,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1435050664,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1435050665,5,41166,8233.200000,0,18409.994872,0.000000,20583.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050666,6,41166,13722.000000,0,21258.030991,0.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050667,7,41166,17642.571429,0,22004.152569,0.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050668,8,41166,20583.000000,0,22004.152569,20583.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050669,9,41166,22870.000000,0,21696.387026,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050670,10,41166,24699.600000,0,21258.030991,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050671,11,41166,26196.545455,0,20769.275290,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050672,12,41166,27444.000000,0,20268.737271,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050673,13,41166,28499.538462,0,19775.506739,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050674,14,41166,29404.285714,0,19298.918469,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050675,15,41166,30188.400000,0,18843.230496,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050676,16,41166,30874.500000,0,18409.994872,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050677,17,41166,31479.882353,0,17999.311354,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050678,18,41166,32018.000000,0,17610.511487,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050679,19,41166,32499.473684,0,17242.539989,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050680,20,41166,32932.800000,0,16894.169937,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050681,21,41166,33324.857143,0,16564.124300,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050682,22,41166,33681.272727,0,16251.143685,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050683,23,41166,34006.695652,0,15954.022766,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050684,24,41166,34305.000000,0,15671.628366,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050685,25,41166,34579.440000,0,15402.906798,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050686,26,41166,34832.769231,0,15146.884977,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050687,27,41166,35067.333333,0,14902.668032,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050688,28,41166,35285.142857,0,14669.435046,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050689,29,41166,35487.931034,0,14446.433910,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050690,30,41166,35677.200000,0,14232.975869,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
1435050691,31,41166,35854.258065,0,14028.430121,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000,41166.000000
